staff_id,staff_fname,staff_lname,dept,country,email,role
130001,John,Sim,Chariman,Singapore,jack.sim@allinone.com.sg,1
140001,Derek,Tan,Sales,Singapore,derek.tan@allinone.com.sg,3
140002,Susan,Goh,Sales,Singapore,susan.goh@allinone.com.sg,2
140003,Janice,Chan,Sales,Singapore,janice.chan@allinone.com.sg,2d
140004,Mary,Teo,Sales,Singapore,mary.teo@allinone.com.sg,2
140008,Jaclyn,Lee,Sales,Singapore,jaclyn.lee@allinone.com.sg,3
140015,Oliva,Lim,Sales,Singapore,oliva.lim@allinone.com.sg,2
140025,Emma,Heng,Sales,Singapore,emma.heng@allinone.com.sg,2
140036,Charlotte,Wong,Sales,Singapore,charlotte.wong@allinone.com.sg,2
140078,Amelia,Ong,Sales,Singapore,amelia.ong@allinone.com.sg,2
140102,Eva,Yong,Sales,Singapore,eva.yong@allinone.com.sg,2
140103,Sophia,Toh,Sales,Singapore,sophia.toh@allinone.com.sg,3
140108,Liam,The,Sales,Singapore,liam.the@allinone.com.sg,2
140115,Noah,Ng,Sales,Singapore,noah.ng@allinone.com.sg,2
140525,Oliver,Tan,Sales,Singapore,oliver.tan@allinone.com.sg,2
140736,William,Fu,Sales,Singapore,william.fu@allinone.com.sg,2
140878,James,Tong,Sales,Singapore,james.tong@allinone.com.sg,2
140879,Siti,Abdullah,Sales,Singapore,siti.abdullah@allinone.com.sg,3
140880,Heng,Chan,Sales,Singapore,heng.chan@allinone.com.sg,2
140881,Rina,Tan,Sales,Singapore,rina.tan@allinone.com.sg,2
140882,Boun,Souk,Sales,Singapore,boun.souk@allinone.com.sg,2
140883,Aung,Kyaw,Sales,Singapore,aung.kyaw@allinone.com.sg,2
140886,Thuy,Nguyen,Sales,Singapore,thuy.nguyen@allinone.com.sg,2
140887,Rajesh,Kumar,Sales,Singapore,rajesh.kumar@allinone.com.sg,2
140888,Koh,Lim,Sales,Singapore,koh.lim@allinone.com.sg,2
140889,Somchai,Somboon,Sales,Singapore,somchai.somboon@allinone.com.sg,2
140890,Seng,Lee,Sales,Singapore,seng.lee@allinone.com.sg,2
140891,Anh,Tran,Sales,Singapore,anh.tran@allinone.com.sg,2
140892,Ratana,Chen,Sales,Singapore,ratana.chen@allinone.com.sg,2
140893,Bui,Nguyen,Sales,Singapore,bui.nguyen@allinone.com.sg,2
140894,Rahim,Khalid,Sales,Singapore,rahim.khalid@allinone.com.sg,3
140895,Dewi,Putri,Sales,Singapore,dewi.putri@allinone.com.sg,2
140898,Sokha,Seng,Sales,Singapore,sokha.seng@allinone.com.sg,2
140900,Tuan,Nguyen,Sales,Singapore,tuan.nguyen@allinone.com.sg,2
140901,Bao,Luu,Sales,Singapore,bao.luu@allinone.com.sg,2
140903,Amara,Singh,Sales,Malaysia,amara.singh@allinone.com.my,2
140904,Srey,Mao,Sales,Malaysia,srey.mao@allinone.com.my,2
140905,Phuc,Le,Sales,Malaysia,phuc.le@allinone.com.my,2
140908,Arifin,Saputra,Sales,Malaysia,arifin.saputra@allinone.com.my,2
140909,Siti,Salleh,Sales,Malaysia,siti.salleh@allinone.com.my,2
140910,Rina,Siriporn,Sales,Indonesia,rina.siriporn@allinone.com.id,2
140911,Minh,Ly,Sales,Indonesia,minh.ly@allinone.com.id,2
140912,Chandara,Kim,Sales,Indonesia,chandara.kim@allinone.com.id,2
140917,Heng,Phan,Sales,Indonesia,heng.phan@allinone.com.id,2
140918,Nara,Khun,Sales,Indonesia,nara.khun@allinone.com.id,2
140919,Priya,Malik,Sales,Indonesia,priya.malik@allinone.com.id,2
140923,Ngoc,Trinh,Sales,Vietnam,ngoc.trinh@allinone.com.vn,2
140924,Manoj,Kumar,Sales,Vietnam,manoj.kumar@allinone.com.vn,2
140925,Anh,Pham,Sales,Vietnam,anh.pham@allinone.com.vn,2
140926,Somsak,Somsri,Sales,Vietnam,somsak.somsri@allinone.com.vn,2
140927,Chin,Lim,Sales,Hong Kong,chin.lim@allinone.com.hk,2
140928,Sok,Chhay,Sales,Hong Kong,sok.chhay@allinone.com.hk,2
140929,Tat,Nguyen,Sales,Hong Kong,tat.nguyen@allinone.com.hk,2
140933,Hlaing,Sithu,Sales,Hong Kong,hlaing.sithu@allinone.com.hk,2
140934,Santhi,Perumal,Sales,Hong Kong,santhi.perumal@allinone.com.hk,2
140935,Hakim,Siregar,Sales,Hong Kong,hakim.siregar@allinone.com.hk,2
140937,Sirirat,Chaiyaporn,Sales,Hong Kong,sirirat.chaiyaporn@allinone.com.hk,2
140938,Chinh,Tran,Sales,Hong Kong,chinh.tran@allinone.com.hk,2
140940,Siti,Ahmad,Sales,Singapore,siti.ahmad@allinone.com.sg,2
140941,Chandra,Rai,Sales,Singapore,chandra.rai@allinone.com.sg,2
140942,Ratana,Keo,Sales,Singapore,ratana.keo@allinone.com.sg,2
140944,Yee,Lim,Sales,Singapore,yee.lim@allinone.com.sg,3
140945,Wai,Yong,Sales,Singapore,wai.yong@allinone.com.sg,2
140947,Thi,Pham,Sales,Singapore,thi.pham@allinone.com.sg,2
140948,Nara,Sok,Sales,Singapore,nara.sok@allinone.com.sg,2
150008,Eric,Loh,Solutioning,Singapore,eric.loh@allinone.com.sg,3
150065,Noah,Goh,Engineering,Singapore,noah.goh@allinone.com.sg,2
150075,Liam,Tan,Engineering,Singapore,liam.tan@allinone.com.sg,2
150076,Oliver,Chan,Engineering,Singapore,oliver.chan@allinone.com.sg,2
150085,Michael,Ng,Engineering,Singapore,michael.ng@allinone.com.sg,2
150095,Alexander,The,Engineering,Singapore,alexander.the@allinone.com.sg,2
150096,Ethan,Tan,Engineering,Singapore,ethan.tan@allinone.com.sg,2
150118,William,Teo,Engineering,Singapore,william.teo@allinone.com.sg,2
150138,Daniel,Fu,Engineering,Singapore,daniel.fu@allinone.com.sg,2
150142,James,Lee,Engineering,Singapore,james.lee@allinone.com.sg,2
150143,John,Lim,Engineering,Singapore,john.lim@allinone.com.sg,3
150148,Jack,Heng,Engineering,Singapore,jack.heng@allinone.com.sg,2
150155,Derek,Wong,Engineering,Singapore,derek.wong@allinone.com.sg,2
150162,Jacob,Tong,Engineering,Singapore,jacob.tong@allinone.com.sg,2
150163,Logan,Loh,Engineering,Singapore,logan.loh@allinone.com.sg,2
150168,Jackson,Tan,Engineering,Singapore,jackson.tan@allinone.com.sg,2
150175,Aiden,Tan,Engineering,Singapore,aiden.tan@allinone.com.sg,2
150215,Michael,Lee,Engineering,Singapore,michael.lee@allinone.com.sg,2
150216,Ethan,Lim,Engineering,Singapore,ethan.lim@allinone.com.sg,2
150232,John,Loh,Engineering,Singapore,john.loh@allinone.com.sg,2
150233,Jack,Tan,Engineering,Singapore,jack.tan@allinone.com.sg,2
150245,Benjamin,Tan,Engineering,Singapore,benjamin.tan@allinone.com.sg,3
150258,Daniel,Heng,Engineering,Singapore,daniel.heng@allinone.com.sg,2
150265,Jaclyn,Tong,Engineering,Singapore,jaclyn.tong@allinone.com.sg,2
150275,Mary,Fu,Engineering,Singapore,mary.fu@allinone.com.sg,2
150276,Oliva,Loh,Engineering,Singapore,oliva.loh@allinone.com.sg,2
150282,Jacob,Wong,Engineering,Singapore,jacob.wong@allinone.com.sg,2
150283,Logan,Ong,Engineering,Singapore,logan.ong@allinone.com.sg,2
150288,Jackson,Yong,Engineering,Singapore,jackson.yong@allinone.com.sg,2
150295,Aiden,Toh,Engineering,Singapore,aiden.toh@allinone.com.sg,2
150318,Emma,Tan,Engineering,Singapore,emma.tan@allinone.com.sg,2
150342,Charlotte,Tan,Engineering,Singapore,charlotte.tan@allinone.com.sg,2
150343,Amelia,Tan,Engineering,Singapore,amelia.tan@allinone.com.sg,2
150345,William,Heng,Engineering,Singapore,william.heng@allinone.com.sg,3
150348,Eva,Goh,Engineering,Singapore,eva.goh@allinone.com.sg,2
150355,Sophia,Chan,Engineering,Singapore,sophia.chan@allinone.com.sg,2
150356,James,Wong,Engineering,Singapore,james.wong@allinone.com.sg,2
150398,John,Ong,Engineering,Singapore,john.ong@allinone.com.sg,2
150422,Jack,Yong,Engineering,Singapore,jack.yong@allinone.com.sg,2
150423,Derek,Toh,Engineering,Singapore,derek.toh@allinone.com.sg,2
150428,Benjamin,The,Engineering,Singapore,benjamin.the@allinone.com.sg,2
150435,Lucas,Ng,Engineering,Singapore,lucas.ng@allinone.com.sg,2
150445,Ethan,Loh,Engineering,Singapore,ethan.loh@allinone.com.sg,2
150446,Daniel,Tan,Engineering,Singapore,daniel.tan@allinone.com.sg,2
150488,Jacob,Tan,Engineering,Singapore,jacob.tan@allinone.com.sg,2
150512,Logan,Tan,Engineering,Singapore,logan.tan@allinone.com.sg,2
150513,Jackson,Goh,Engineering,Singapore,jackson.goh@allinone.com.sg,2
150518,Aiden,Chan,Engineering,Singapore,aiden.chan@allinone.com.sg,2
150525,Samuel,Teo,Engineering,Singapore,samuel.teo@allinone.com.sg,2
150555,Jaclyn,Wong,Engineering,Singapore,jaclyn.wong@allinone.com.sg,3
150565,Benjamin,Ong,Engineering,Singapore,benjamin.ong@allinone.com.sg,2
150566,Oliva,Ong,Engineering,Singapore,oliva.ong@allinone.com.sg,2
150585,Samuel,Tan,Engineering,Singapore,samuel.tan@allinone.com.sg,2
150608,Emma,Yong,Engineering,Singapore,emma.yong@allinone.com.sg,2
150632,Charlotte,Toh,Engineering,Singapore,charlotte.toh@allinone.com.sg,2
150633,Amelia,The,Engineering,Singapore,amelia.the@allinone.com.sg,2
150638,Eva,Ng,Engineering,Singapore,eva.ng@allinone.com.sg,2
150645,Sophia,Tan,Engineering,Singapore,sophia.tan@allinone.com.sg,2
150655,Lucas,Goh,Engineering,Singapore,lucas.goh@allinone.com.sg,2
150695,William,Tan,Engineering,Singapore,william.tan@allinone.com.sg,2
150705,Samuel,The,Engineering,Singapore,samuel.the@allinone.com.sg,2
150765,Liam,Teo,Engineering,Singapore,liam.teo@allinone.com.sg,2
150776,Lucas,Yong,Engineering,Singapore,lucas.yong@allinone.com.sg,2
150845,Henry,Tan,Engineering,Singapore,henry.tan@allinone.com.sg,2
150866,Henry,Chan,Engineering,Singapore,henry.chan@allinone.com.sg,3
150916,Susan,Ng,Engineering,Singapore,susan.ng@allinone.com.sg,2
150918,Henry,Toh,Engineering,Singapore,henry.toh@allinone.com.sg,2
150935,Susan,Lee,Engineering,Singapore,susan.lee@allinone.com.sg,2
150976,Noah,Lee,Engineering,Singapore,noah.lee@allinone.com.sg,2
151008,Alexander,Teo,Engineering,Singapore,alexander.teo@allinone.com.sg,2
151055,Liam,Fu,Engineering,Singapore,liam.fu@allinone.com.sg,2
151056,Alexander,Fu,Engineering,Singapore,alexander.fu@allinone.com.sg,2
151058,Janice,Tan,Engineering,Singapore,janice.tan@allinone.com.sg,2
151118,Oliver,Lim,Engineering,Singapore,oliver.lim@allinone.com.sg,2
151146,Janice,Lim,Engineering,Singapore,janice.lim@allinone.com.sg,2
151198,Michael,Tong,Engineering,Singapore,michael.tong@allinone.com.sg,2
151266,Noah,Tong,Engineering,Singapore,noah.tong@allinone.com.sg,2
151288,Mary,Heng,Engineering,Singapore,mary.heng@allinone.com.sg,2
151407,Oliver,Loh,Engineering,Singapore,oliver.loh@allinone.com.sg,2
151408,Philip,Lee,Engineering,Singapore,philip.lee@allinone.com.sg,3
151410,Phuong,Dinh,Engineering,Singapore,phuong.dinh@allinone.com.sg,3
151411,Bao,Nguyen,Engineering,Singapore,bao.nguyen@allinone.com.sg,2
151412,Wati,Halim,Engineering,Singapore,wati.halim@allinone.com.sg,2
151413,Seng,Soeun,Engineering,Singapore,seng.soeun@allinone.com.sg,2
151414,Yun,Lee,Engineering,Indonesia,yun.lee@allinone.com.id,2
151415,Aung,Tun,Engineering,Singapore,aung.tun@allinone.com.sg,2
151416,Vannak,Chen,Engineering,Malaysia,vannak.chen@allinone.com.my,2
151417,Pich,Sun,Engineering,Singapore,pich.sun@allinone.com.sg,2
151418,Chandara,Khun,Engineering,Vietnam,chandara.khun@allinone.com.vn,2
151419,Heng,Heng,Engineering,Singapore,heng.heng@allinone.com.sg,2
151420,Siti,Ismail,Engineering,Singapore,siti.ismail@allinone.com.sg,2
151425,Thuy,Phan,Engineering,Hong Kong,thuy.phan@allinone.com.hk,2
151426,Trung,Trinh,Engineering,Singapore,trung.trinh@allinone.com.sg,2
151427,Rahul,Sharma,Engineering,Singapore,rahul.sharma@allinone.com.sg,2
151428,Champa,Thao,Engineering,Singapore,champa.thao@allinone.com.sg,2
151430,Rithy,Chheng,Engineering,Singapore,rithy.chheng@allinone.com.sg,2
151431,Mani,Raj,Engineering,Singapore,mani.raj@allinone.com.sg,2
151432,Sokunthea,Phan,Engineering,Singapore,sokunthea.phan@allinone.com.sg,2
151433,Mani,Devi,Engineering,Indonesia,mani.devi@allinone.com.id,2
151435,Somnang,Suon,Engineering,Singapore,somnang.suon@allinone.com.sg,2
151436,Samsul,Rahman,Engineering,Malaysia,samsul.rahman@allinone.com.my,2
151438,Rath,Phan,Engineering,Singapore,rath.phan@allinone.com.sg,2
151439,Ji,Han,Engineering,Vietnam,ji.han@allinone.com.vn,3
151440,Sok,Pich,Engineering,Singapore,sok.pich@allinone.com.sg,2
151441,Minh,Hoang,Engineering,Singapore,minh.hoang@allinone.com.sg,3
151443,Anil,Kumar,Engineering,Hong Kong,anil.kumar@allinone.com.hk,3
151444,Chinh,Le,Engineering,Singapore,chinh.le@allinone.com.sg,2
151446,Seng,Seng,Engineering,Singapore,seng.seng@allinone.com.sg,2
151447,Nanda,Kesavan,Engineering,Singapore,nanda.kesavan@allinone.com.sg,2
151448,Amirah,Ahmad,Engineering,Singapore,amirah.ahmad@allinone.com.sg,2
151450,Sokly,Sok,Engineering,Singapore,sokly.sok@allinone.com.sg,2
151451,Trung,Pham,Engineering,Singapore,trung.pham@allinone.com.sg,2
151452,Rithya,Suon,Engineering,Indonesia,rithya.suon@allinone.com.id,3
151456,Phuc,Vo,Engineering,Singapore,phuc.vo@allinone.com.sg,2
151457,Chandra,Pandey,Engineering,Malaysia,chandra.pandey@allinone.com.my,3
151458,Manoj,Singh,Engineering,Singapore,manoj.singh@allinone.com.sg,2
151459,Phalla,Yong,Engineering,Vietnam,phalla.yong@allinone.com.vn,2
151464,Chhaya,Sou,Engineering,Singapore,chhaya.sou@allinone.com.sg,2
151465,Soma,Lim,Engineering,Singapore,soma.lim@allinone.com.sg,2
151466,Siv,Sun,Engineering,Hong Kong,siv.sun@allinone.com.hk,2
151467,Vannak,Mao,Engineering,Singapore,vannak.mao@allinone.com.sg,2
151468,Kumara,Seng,Engineering,Singapore,kumara.seng@allinone.com.sg,2
151469,Sok,Heng,Engineering,Singapore,sok.heng@allinone.com.sg,2
151470,Siti,Saad,Engineering,Singapore,siti.saad@allinone.com.sg,2
151471,Chanh,Ly,Engineering,Singapore,chanh.ly@allinone.com.sg,3
151472,Anh,Truong,Engineering,Singapore,anh.truong@allinone.com.sg,2
151476,Hakim,Rahman,Engineering,Indonesia,hakim.rahman@allinone.com.id,2
151477,Priya,Kaur,Engineering,Singapore,priya.kaur@allinone.com.sg,2
151479,Narong,Chen,Engineering,Malaysia,narong.chen@allinone.com.my,2
151480,Rin,Sok,Engineering,Singapore,rin.sok@allinone.com.sg,2
151481,Phuc,Lam,Engineering,Vietnam,phuc.lam@allinone.com.vn,2
151482,Sok,Chin,Engineering,Singapore,sok.chin@allinone.com.sg,2
151483,Chandara,Kong,Engineering,Singapore,chandara.kong@allinone.com.sg,2
151484,Phanith,Sok,Engineering,Hong Kong,phanith.sok@allinone.com.hk,2
151485,Heng,Sim,Engineering,Singapore,heng.sim@allinone.com.sg,2
151487,Nanda,Devan,Engineering,Singapore,nanda.devan@allinone.com.sg,2
151488,Pich,Phan,Engineering,Singapore,pich.phan@allinone.com.sg,2
151489,Anil,Sarawat,Engineering,Singapore,anil.sarawat@allinone.com.sg,2
151491,Nguyen,Tuan,Engineering,Singapore,nguyen.tuan@allinone.com.sg,2
151492,Bao,Kim,Engineering,Singapore,bao.kim@allinone.com.sg,2
151493,Boun,Sok,Engineering,Indonesia,boun.sok@allinone.com.id,2
151494,Soma,Khun,Engineering,Singapore,soma.khun@allinone.com.sg,2
151495,Samsul,Saifullah,Engineering,Malaysia,samsul.saifullah@allinone.com.my,2
151496,Rina,Li,Engineering,Singapore,rina.li@allinone.com.sg,2
151498,Mani,Prasad,Engineering,Vietnam,mani.prasad@allinone.com.vn,2
151499,Koh,Seng,Engineering,Singapore,koh.seng@allinone.com.sg,2
151500,Arifin,Siregar,Engineering,Singapore,arifin.siregar@allinone.com.sg,2
151502,Kumari,Devi,Engineering,Hong Kong,kumari.devi@allinone.com.hk,2
151503,Narong,Khun,Engineering,Singapore,narong.khun@allinone.com.sg,2
151505,Thi,Lam,Engineering,Singapore,thi.lam@allinone.com.sg,2
151506,Vannak,Sok,Engineering,Singapore,vannak.sok@allinone.com.sg,2
151507,Phuong,Nguyen,Engineering,Singapore,phuong.nguyen@allinone.com.sg,2
151508,Srey,Makara,Engineering,Singapore,srey.makara@allinone.com.sg,2
151509,Hlaing,Kyaw,Engineering,Singapore,hlaing.kyaw@allinone.com.sg,2
151510,Anh,Ly,Engineering,Indonesia,anh.ly@allinone.com.id,2
151512,Chin,Heng,Engineering,Singapore,chin.heng@allinone.com.sg,2
151513,Nara,Yong,Engineering,Malaysia,nara.yong@allinone.com.my,2
151514,Somchai,Phan,Engineering,Singapore,somchai.phan@allinone.com.sg,2
151515,Rath,Sim,Engineering,Vietnam,rath.sim@allinone.com.vn,2
151517,Chinh,Tran,Engineering,Singapore,chinh.tran@allinone.com.sg,2
151518,Yee,Liu,Engineering,Singapore,yee.liu@allinone.com.sg,2
151519,Heng,Chhour,Engineering,Hong Kong,heng.chhour@allinone.com.hk,2
151520,Sokunthea,Soy,Engineering,Singapore,sokunthea.soy@allinone.com.sg,2
151521,Champa,Thach,Engineering,Singapore,champa.thach@allinone.com.sg,2
151523,Rahim,Ramli,Engineering,Singapore,rahim.ramli@allinone.com.sg,2
151524,Hakim,Hassan,Engineering,Singapore,hakim.hassan@allinone.com.sg,2
151525,Trung,Le,Engineering,Singapore,trung.le@allinone.com.sg,2
151526,Seng,Chhour,Engineering,Singapore,seng.chhour@allinone.com.sg,2
151527,Narong,Mao,Engineering,Indonesia,narong.mao@allinone.com.id,2
151528,Phuc,Phung,Engineering,Singapore,phuc.phung@allinone.com.sg,2
151531,Chandara,Sin,Engineering,Malaysia,chandara.sin@allinone.com.my,2
151533,Soma,San,Engineering,Singapore,soma.san@allinone.com.sg,2
151534,Siv,Savuth,Engineering,Vietnam,siv.savuth@allinone.com.vn,2
151535,Vannak,Soun,Engineering,Singapore,vannak.soun@allinone.com.sg,2
151536,Kumara,Suon,Engineering,Singapore,kumara.suon@allinone.com.sg,2
151537,Sok,Mao,Engineering,Hong Kong,sok.mao@allinone.com.hk,2
151539,Siti,Yusof,Engineering,Singapore,siti.yusof@allinone.com.sg,2
151540,Chanh,Sin,Engineering,Singapore,chanh.sin@allinone.com.sg,2
151543,Priya,Krishnan,Engineering,Singapore,priya.krishnan@allinone.com.sg,2
151544,Nanda,Lal,Engineering,Singapore,nanda.lal@allinone.com.sg,2
151545,Rithy,Khun,Engineering,Singapore,rithy.khun@allinone.com.sg,2
151546,Mani,Choudhury,Engineering,Indonesia,mani.choudhury@allinone.com.id,2
151547,Koh,Loo,Engineering,Singapore,koh.loo@allinone.com.sg,2
151548,Arifin,Bakar,Engineering,Malaysia,arifin.bakar@allinone.com.my,2
151549,Kumari,Pillai,Engineering,Singapore,kumari.pillai@allinone.com.sg,2
151550,Narong,Chua,Engineering,Vietnam,narong.chua@allinone.com.vn,2
151556,Thi,Ling,Engineering,Singapore,thi.ling@allinone.com.sg,2
151558,Vannak,Seng,Engineering,Singapore,vannak.seng@allinone.com.sg,2
151559,Nara,Loo,Engineering,Hong Kong,nara.loo@allinone.com.hk,2
151560,Somchai,Kong,Engineering,Singapore,somchai.kong@allinone.com.sg,2
151561,Rath,Khun,Engineering,Singapore,rath.khun@allinone.com.sg,2
151562,Chinh,Nguyen,Engineering,Singapore,chinh.nguyen@allinone.com.sg,2
151563,Yee,Chong,Engineering,Singapore,yee.chong@allinone.com.sg,2
151564,Heng,Phal,Engineering,Singapore,heng.phal@allinone.com.sg,2
151567,Sokunthea,Seng,Engineering,Singapore,sokunthea.seng@allinone.com.sg,2
151568,Champa,Pheap,Engineering,Indonesia,champa.pheap@allinone.com.id,2
151570,Rahim,Harun,Engineering,Singapore,rahim.harun@allinone.com.sg,2
151571,Hakim,Sulaiman,Engineering,Malaysia,hakim.sulaiman@allinone.com.my,2
151573,Trung,Nguyen,Engineering,Singapore,trung.nguyen@allinone.com.sg,2
151574,Seng,Sao,Engineering,Vietnam,seng.sao@allinone.com.vn,2
151575,Narong,Savoeun,Engineering,Singapore,narong.savoeun@allinone.com.sg,2
151576,Phuc,Luong,Engineering,Singapore,phuc.luong@allinone.com.sg,2
151578,Chandara,Tith,Engineering,Hong Kong,chandara.tith@allinone.com.hk,2
151579,Soma,Voeun,Engineering,Singapore,soma.voeun@allinone.com.sg,2
151580,Siv,Sothea,Engineering,Singapore,siv.sothea@allinone.com.sg,2
151581,Vannak,Samnang,Engineering,Singapore,vannak.samnang@allinone.com.sg,2
151582,Kumara,Sareth,Engineering,Singapore,kumara.sareth@allinone.com.sg,2
151583,Sok,Kheng,Engineering,Singapore,sok.kheng@allinone.com.sg,2
151584,Siti,Yusuf,Engineering,Singapore,siti.yusuf@allinone.com.sg,2
151585,Chanh,Tith,Engineering,Indonesia,chanh.tith@allinone.com.id,2
151589,Anh,Van,Engineering,Singapore,anh.van@allinone.com.sg,2
151590,Priya,Kumar,Engineering,Malaysia,priya.kumar@allinone.com.my,2
151593,Rithy,Sok,Engineering,Vietnam,rithy.sok@allinone.com.vn,2
151595,Mani,Devi,Engineering,Singapore,mani.devi@allinone.com.sg,2
151597,Arifin,Saputra,Engineering,Hong Kong,arifin.saputra@allinone.com.hk,2
151600,Narong,Chua,Engineering,Singapore,narong.chua@allinone.com.sg,3
151603,Phuong,Truong,Engineering,Singapore,phuong.truong@allinone.com.sg,2
151605,Srey,Suon,Engineering,Singapore,srey.suon@allinone.com.sg,2
151606,Hlaing,Myat,Engineering,Indonesia,hlaing.myat@allinone.com.id,2
151607,Anh,Vo,Engineering,Singapore,anh.vo@allinone.com.sg,2
151608,Chin,Chen,Engineering,Malaysia,chin.chen@allinone.com.my,2
151609,Nara,Loo,Engineering,Singapore,nara.loo@allinone.com.sg,2
151610,Somchai,Kong,Engineering,Vietnam,somchai.kong@allinone.com.vn,2
151613,Yee,Chong,Engineering,Hong Kong,yee.chong@allinone.com.hk,2
160008,Sally,Loh,HR,Singapore,sally.loh@allinone.com.sg,4
160065,John,Tan,HR,Singapore,john.tan@allinone.com.sg,2
160075,James,Tan,HR,Singapore,james.tan@allinone.com.sg,3
160076,Jack,Goh,HR,Singapore,jack.goh@allinone.com.sg,4
160118,Derek,Chan,HR,Singapore,derek.chan@allinone.com.sg,4
160135,Jaclyn,Ong,HR,Singapore,jaclyn.ong@allinone.com.sg,4
160142,Benjamin,Teo,HR,Singapore,benjamin.teo@allinone.com.sg,4
160143,Lucas,Lee,HR,Singapore,lucas.lee@allinone.com.sg,4
160145,Mary,Wong,HR,Singapore,mary.wong@allinone.com.sg,2
160146,Oliva,Yong,HR,Singapore,oliva.yong@allinone.com.sg,2
160148,Henry,Lim,HR,Singapore,henry.lim@allinone.com.sg,2
160155,Alexander,Heng,HR,Singapore,alexander.heng@allinone.com.sg,2
160188,Emma,Toh,HR,Singapore,emma.toh@allinone.com.sg,2
160212,Charlotte,The,HR,Singapore,charlotte.the@allinone.com.sg,2
160213,Amelia,Ng,HR,Singapore,amelia.ng@allinone.com.sg,2
